title,url,type
تیم منتخب کشتی آزاد ایران راهی روسیه شد,https://www.varzesh3.com/news/1866636/تیم-منتخب-کشتی-آزاد-ایران-راهی-روسیه-شد,['text-type']
تکرار مدال المپیک بودجه 45 برابری می‌خواهد,https://www.varzesh3.com/news/1866631/تکرار-مدال-المپیک-بودجه-45-برابری-می-خواهد,['text-type']
وعده‌های سرکاری برای اعلام کاندیداهای دوچرخه‌سواری,https://www.varzesh3.com/news/1866630/وعده-های-سرکاری-برای-اعلام-کاندیداهای-دوچرخه-سواری,['text-type']
رویارویی قهرمان ایرانی با کایل اسنایدر آمریکایی,https://www.varzesh3.com/news/1866627/رویارویی-قهرمان-ایرانی-با-کایل-اسنایدر-آمریکایی,['text-type']
تیم ملی هندبال در غیاب وویوویچ به ایران بازگشت,https://www.varzesh3.com/news/1866626/تیم-ملی-هندبال-در-غیاب-وویوویچ-به-ایران-بازگشت,['text-type']
تنها تیراندازان شانس کسب مدال به هانگژو می‌روند,https://www.varzesh3.com/news/1866628/تنها-تیراندازان-شانس-کسب-مدال-به-هانگژو-می-روند,['text-type']
مقصودلو باز هم یک شطرنج‌باز آمریکایی را متوقف کرد,https://www.varzesh3.com/news/1866606/مقصودلو-باز-هم-یک-شطرنج-باز-آمریکایی-را-متوقف-کرد,['text-type']
گرد و خاک ۱۹ امتیازی صابر کاظمی در قطر,https://www.varzesh3.com/news/1866604/گرد-و-خاک-۱۹-امتیازی-صابر-کاظمی-در-قطر,['text-type']
10 حرکت برتر بسکتبال NBA در دیدارهای امروز,https://video.varzesh3.com/video/270686/10-حرکت-برتر-بسکتبال-nba-در-دیدارهای-امروز,['video-type']
شگفتی‌سازی پینگ‌پنگ‌باز ۱۷ساله ایرانی,https://www.varzesh3.com/news/1866589/شگفتی-سازی-پینگ-پنگ-باز-۱۷-ساله-ایرانی,['text-type']
هیچ وقت نمی‌توانم جایگزین محمد بنا باشم,https://video.varzesh3.com/video/270689/هیچ-وقت-نمی-توانم-جایگزین-محمد-بنا-باشم,['video-type']
دو انتصاب در فدراسیون اسکیت,https://www.varzesh3.com/news/1866558/دو-انتصاب-در-فدراسیون-اسکیت,['text-type']
گروه‌بندی مسابقات هندبال ساحلی قهرمانی مردان آسیا,https://www.varzesh3.com/news/1866557/گروه-بندی-مسابقات-هندبال-ساحلی-قهرمانی-مردان-آسیا,['text-type']
خلاصه بسکتبال یوتا جاز - شارلوت هورنتس,https://video.varzesh3.com/video/270684/خلاصه-بسکتبال-یوتا-جاز-شارلوت-هورنتس,['video-type']
خلاصه بسکتبال پورتلند تریل بلیزرز - سن آنتونیو اسپرز,https://video.varzesh3.com/video/270683/خلاصه-بسکتبال-پورتلند-تریل-بلیزرز-سن-آنتونیو-اسپرز,['video-type']
جدال 14 بوکسور برای رسیدن به پیراهن تیم ملی,https://www.varzesh3.com/news/1866554/جدال-14-بوکسور-برای-رسیدن-به-پیراهن-تیم-ملی,['text-type']
لیگ برتر تکواندو| تلاش سه تیم برای بالا بردن جام,https://www.varzesh3.com/news/1866549/لیگ-برتر-تکواندو-تلاش-سه-تیم-برای-بالا-بردن-جام,['text-type']
حسین وفایی: از عنوان قهرمانی خود دفاع خواهم کرد,https://www.varzesh3.com/news/1866542/حسین-وفایی-از-عنوان-قهرمانی-خود-دفاع-خواهم-کرد,['text-type']
پالایش نفت به دنبال اولین قهرمانی,https://www.varzesh3.com/news/1866539/لیگ-برتر-تکواندو-پالایش-نفت-به-دنبال-اولین-قهرمانی,['text-type']
جوکوویچ: شاید روزی با پسرم همبازی شوم,https://www.varzesh3.com/news/1866541/جوکوویچ-شاید-روزی-با-پسرم-همبازی-شوم,['text-type']
منصور برزگر: در هیچ زمینه‌ای المپیکی فکر نمی‌کنیم,https://www.varzesh3.com/news/1866538/منصور-برزگر-در-هیچ-زمینه-ای-المپیکی-فکر-نمی-کنیم,['text-type']
حضور قهرمانان مسابقات کشتی پهلوانی در جام تختی,https://www.varzesh3.com/news/1866537/حضور-قهرمانان-مسابقات-کشتی-پهلوانی-در-جام-تختی,['text-type']
صعود نوشاد و حذف نیما در مسابقات قطر,https://www.varzesh3.com/news/1866548/صعود-نوشاد-و-حذف-نیما-در-مسابقات-قطر,['text-type']
