name,year,director,rate,runtime,certificate,genre,gross
Pineapple Express,2008,David Gordon Green,6.9,111 min,R,"Action, Comedy, Crime",87.34
The Hitman's Bodyguard,2017,Patrick Hughes,6.9,118 min,R,"Action, Comedy, Crime",75.47
Crank,2006,Mark Neveldine,6.9,88 min,R,"Action, Crime, Thriller",27.83
Clear and Present Danger,1994,Phillip Noyce,6.9,141 min,PG-13,"Action, Crime, Drama",122.19
Adventures in Babysitting,1987,Chris Columbus,6.9,102 min,PG-13,"Adventure, Comedy, Crime",34.37
The Highwaymen,2019,John Lee Hancock,6.9,132 min,R,"Biography, Crime, Drama",93.472
Alpha Dog,2006,Nick Cassavetes,6.9,122 min,R,"Biography, Crime, Drama",15.23
The Naked Gun 2½: The Smell of Fear,1991,David Zucker,6.9,85 min,PG-13,"Comedy, Crime",86.93
48 Hrs.,1982,Walter Hill,6.9,96 min,R,"Action, Comedy, Crime",78.87
Bully,2001,Larry Clark,6.9,108 min,R,"Biography, Crime, Drama",1.54
The Thomas Crown Affair,1968,Norman Jewison,6.9,102 min,Approved,"Crime, Drama, Romance",25.953
Bottle Rocket,1996,Wes Anderson,6.9,91 min,R,"Comedy, Crime, Drama",0.56
Get Shorty,1995,Barry Sonnenfeld,6.9,105 min,R,"Comedy, Crime, Thriller",72.08
King of New York,1990,Abel Ferrara,6.9,103 min,R,"Crime, Thriller",2.55
Death Wish,1974,Michael Winner,6.9,93 min,R,"Action, Crime, Drama",22
Repo Man,1984,Alex Cox,6.9,92 min,R,"Action, Comedy, Crime",3.57
Everybody Knows,2018,Asghar Farhadi,6.9,133 min,R,"Crime, Drama, Mystery",2.66
Trance,(I) (2013),Danny Boyle,6.9,101 min,R,"Crime, Drama, Mystery",2.32
The Limey,1999,Steven Soderbergh,6.9,89 min,R,"Crime, Drama, Mystery",3.19
Kill the Messenger,2014,Michael Cuesta,6.9,112 min,R,"Biography, Crime, Drama",2.45
Frantic,1988,Roman Polanski,6.9,120 min,R,"Crime, Drama, Mystery",17.64
Trust,(I) (2010),David Schwimmer,6.9,106 min,R,"Crime, Drama, Thriller",0.12
Ruthless People,1986,Jim Abrahams,6.9,93 min,R,"Comedy, Crime",71.62
The Crimson Rivers,2000,Mathieu Kassovitz,6.9,106 min,R,"Crime, Mystery, Thriller",0.63
The Grifters,1990,Stephen Frears,6.9,110 min,R,"Crime, Drama, Thriller",13.45
Traitor,2008,Jeffrey Nachmanoff,6.9,114 min,PG-13,"Action, Crime, Drama",23.53
Haseen Dillruba,2021,Vinil Mathew,6.9,135 min,TV-MA,"Crime, Drama, Mystery",27.651
The Big Boss,1971,Wei Lo,6.9,99 min,R,"Action, Crime, Drama",0.04
A Guide to Recognizing Your Saints,2006,Dito Montiel,6.9,100 min,R,"Crime, Drama",0.52
Suicide Kings,1997,Peter O'Fallon,6.9,106 min,R,"Comedy, Crime, Drama",1.69
New Police Story,2004,Benny Chan,6.9,123 min,R,"Action, Crime, Thriller",27.62
Alan Partridge,2013,Declan Lowney,6.9,90 min,R,"Action, Comedy, Crime",0.15
The Conspirator,2010,Robert Redford,6.9,122 min,PG-13,"Crime, Drama, History",11.54
The Ref,1994,Ted Demme,6.9,97 min,R,"Comedy, Crime, Drama",11.44
Agneepath,2012,Karan Malhotra,6.9,174 min,Not Rated,"Action, Crime, Drama",1.98
The Assassination of Richard Nixon,2004,Niels Mueller,6.9,95 min,R,"Biography, Crime, Drama",0.7
The Good Nurse,2022,Tobias Lindholm,6.8,121 min,R,"Biography, Crime, Drama",57.887
The Bad Guys,2022,Pierre Perifel,6.8,100 min,PG,"Animation, Adventure, Comedy",43.076
The Fast and the Furious,2001,Rob Cohen,6.8,106 min,PG-13,"Action, Crime, Thriller",144.53
The Pledge,(I) (2001),Sean Penn,6.8,124 min,R,"Crime, Drama, Mystery",19.72
The House That Jack Built,2018,Lars von Trier,6.8,152 min,R,"Crime, Drama, Horror",0.09
A Simple Favor,2018,Paul Feig,6.8,117 min,R,"Comedy, Crime, Mystery",53.55
Bad Boys,1995,Michael Bay,6.8,119 min,R,"Action, Comedy, Crime",65.81
What Happened to Monday,2017,Tommy Wirkola,6.8,123 min,TV-MA,"Action, Crime, Fantasy",125.491
Hannibal,2001,Ridley Scott,6.8,131 min,R,"Crime, Drama, Thriller",165.09
The Score,2001,Frank Oz,6.8,124 min,R,"Action, Crime, Drama",71.07
Home Alone 2: Lost in New York,1992,Chris Columbus,6.8,120 min,PG,"Adventure, Comedy, Crime",173.59
The Long Kiss Goodnight,1996,Renny Harlin,6.8,121 min,R,"Action, Crime, Drama",33.33
Risky Business,1983,Paul Brickman,6.8,99 min,R,"Comedy, Crime, Drama",63.5
The Dry,2020,Robert Connolly,6.8,117 min,R,"Crime, Drama, Mystery",27.974
Widows,2018,Steve McQueen,6.8,129 min,R,"Crime, Drama, Thriller",42.4
21,2008,Robert Luketic,6.8,123 min,PG-13,"Crime, Drama, History",81.16
Body Double,1984,Brian De Palma,6.8,114 min,R,"Crime, Drama, Mystery",8.8
The Transporter,2002,Louis Leterrier,6.8,92 min,PG-13,"Action, Crime, Thriller",25.3
I See You,(II) (2019),Adam Randall,6.8,98 min,R,"Crime, Drama, Horror",51.047
Bolt,2008,Byron Howard,6.8,96 min,PG,"Animation, Adventure, Comedy",114.05
Four Brothers,2005,John Singleton,6.8,109 min,R,"Action, Crime, Drama",74.49
Disturbia,2007,D.J. Caruso,6.8,105 min,PG-13,"Crime, Drama, Mystery",80.21
Chappie,2015,Neill Blomkamp,6.8,120 min,R,"Action, Crime, Drama",31.57
Panic Room,2002,David Fincher,6.8,112 min,R,"Crime, Drama, Thriller",96.4
All the Money in the World,2017,Ridley Scott,6.8,132 min,R,"Biography, Crime, Drama",25.11
Exam,2009,Stuart Hazeldine,6.8,101 min,Not Rated,"Crime, Horror, Mystery",117.882
The Iceman,2012,Ariel Vromen,6.8,106 min,R,"Biography, Crime, Drama",1.94
Motherless Brooklyn,2019,Edward Norton,6.8,144 min,R,"Crime, Drama, Mystery",58.747
Escape from Pretoria,2020,Francis Annan,6.8,106 min,PG-13,"Biography, Crime, Mystery",38.634
Street Kings,2008,David Ayer,6.8,109 min,R,"Action, Crime, Thriller",26.42
The Thomas Crown Affair,1999,John McTiernan,6.8,113 min,R,"Crime, Romance, Thriller",69.3
To Die For,1995,Gus Van Sant,6.8,106 min,R,"Comedy, Crime, Drama",21.28
Freeway,1996,Matthew Bright,6.8,102 min,R,"Crime, Drama, Thriller",0.3
El Mariachi,1992,Robert Rodriguez,6.8,81 min,R,"Action, Crime, Thriller",2.04
Bernie,2011,Richard Linklater,6.8,104 min,PG-13,"Biography, Comedy, Crime",9.2
"See No Evil, Hear No Evil",1989,Arthur Hiller,6.8,103 min,R,"Comedy, Crime",46.91
Joe,(I) (2013),David Gordon Green,6.8,117 min,R,"Crime, Drama",0.37
Harsh Times,2005,David Ayer,6.8,116 min,R,"Action, Crime, Drama",3.34
Bugsy,1991,Barry Levinson,6.8,136 min,R,"Biography, Crime, Drama",49.11
We Own the Night,2007,James Gray,6.8,117 min,R,"Action, Crime, Drama",28.56
22-Jul,2018,Paul Greengrass,6.8,143 min,R,"Crime, Drama, History",34.87
A Most Wanted Man,2014,Anton Corbijn,6.8,122 min,R,"Crime, Drama, Thriller",17.24
The Secrets with the Family,1989,Harold Becker,6.8,113 min,R,"Crime, Drama, Mystery",58.57
Serial Mom,1994,John Waters,6.8,95 min,R,"Comedy, Crime, Thriller",7.88
Oliver Twist,2005,Roman Polanski,6.8,130 min,PG-13,"Crime, Drama",1.99
House on Haunted Hill,1959,William Castle,6.8,75 min,Not Rated,"Crime, Horror, Mystery",28.414
Romper Stomper,1992,Geoffrey Wright,6.8,94 min,R,"Crime, Drama, Thriller",0.18
Dead Again,1991,Kenneth Branagh,6.8,107 min,R,"Crime, Drama, Mystery",38.02
The East,2013,Zal Batmanglij,6.8,116 min,PG-13,"Crime, Drama, Thriller",2.27
Middle Men,2009,George Gallo,6.8,105 min,R,"Comedy, Crime, Drama",0.72
The Football Factory,2004,Nick Love,6.8,91 min,R,"Crime, Drama, Sport",31.156
Millions,2004,Danny Boyle,6.8,98 min,PG,"Comedy, Crime, Drama",6.58
Beavis and Butt-Head Do America,1996,Mike Judge,6.8,81 min,PG-13,"Animation, Adventure, Comedy",63.07
Keeping Mum,2005,Niall Johnson,6.8,99 min,R,"Comedy, Crime",1.62
The Pale Blue Eye,2022,Scott Cooper,6.7,128 min,R,"Crime, Horror, Mystery",65.354
Violent Night,2022,Tommy Wirkola,6.7,112 min,R,"Action, Comedy, Crime",55.59
Emily the Criminal,2022,John Patton Ford,6.7,97 min,R,"Crime, Drama, Thriller",32.145
Enola Holmes 2,2022,Harry Bradbeer,6.7,129 min,PG-13,"Action, Adventure, Crime",73.72
The Client,1994,Joel Schumacher,6.7,119 min,PG-13,"Crime, Drama, Mystery",92.12
Life,(I) (1999),Ted Demme,6.7,108 min,R,"Comedy, Crime, Drama",63.84
Kingsman: The Golden Circle,2017,Matthew Vaughn,6.7,141 min,R,"Action, Adventure, Comedy",100.23
The Equalizer 2,2018,Antoine Fuqua,6.7,121 min,R,"Action, Crime, Thriller",102.08
Let Him Go,2020,Thomas Bezucha,6.7,113 min,R,"Crime, Drama, Thriller",28.934
Out of the Furnace,2013,Scott Cooper,6.7,116 min,R,"Action, Crime, Drama",11.33
Wanted,2008,Timur Bekmambetov,6.7,110 min,R,"Action, Crime, Thriller",134.51
You Were Never Really Here,2017,Lynne Ramsay,6.7,89 min,R,"Crime, Drama",2.52
The Whole Nine Yards,2000,Jonathan Lynn,6.7,98 min,R,"Comedy, Crime",57.26
"Extremely Wicked, Shockingly Evil and Vile",2019,Joe Berlinger,6.7,110 min,R,"Biography, Crime, Drama",96.108
The Bone Collector,1999,Phillip Noyce,6.7,118 min,R,"Crime, Drama, Mystery",66.52
The Good Liar,2019,Bill Condon,6.7,109 min,R,"Crime, Drama, Mystery",43.378
Gangster Squad,2013,Ruben Fleischer,6.7,113 min,R,"Action, Crime, Drama",46
Super,(I) (2010),James Gunn,6.7,96 min,R,"Action, Comedy, Crime",0.32
The Devil's Rejects,2005,Rob Zombie,6.7,107 min,R,"Crime, Horror, Western",17.04
Absolute Power,1997,Clint Eastwood,6.7,121 min,R,"Action, Crime, Drama",50.01
Swimming Pool,2003,François Ozon,6.7,102 min,R,"Crime, Drama, Mystery",10.11
Stir Crazy,1980,Sidney Poitier,6.7,111 min,R,"Comedy, Crime",101.3
Gold,2016,Stephen Gaghan,6.7,120 min,R,"Crime, Drama",7.22
Lethal Weapon 3,1992,Richard Donner,6.7,118 min,R,"Action, Crime, Thriller",144.73
Death Sentence,2007,James Wan,6.7,105 min,R,"Action, Crime, Drama",9.53
Kalifornia,1993,Dominic Sena,6.7,117 min,R,"Crime, Drama, Thriller",2.4
Spun,2002,Jonas Åkerlund,6.7,101 min,R,"Comedy, Crime, Drama",0.41
Appaloosa,2008,Ed Harris,6.7,115 min,R,"Action, Crime, Drama",20.21
Veronica Mars,2014,Rob Thomas,6.7,107 min,PG-13,"Crime, Drama, Mystery",3.32
Ransom,1996,Ron Howard,6.7,121 min,R,"Action, Crime, Thriller",136.49
The Old Man & the Gun,2018,David Lowery,6.7,93 min,PG-13,"Biography, Comedy, Crime",11.28
Phenomena,1985,Dario Argento,6.7,116 min,R,"Crime, Horror, Mystery",27.668
The Brothers Bloom,2008,Rian Johnson,6.7,114 min,PG-13,"Action, Adventure, Comedy",3.52
Notorious,2009,George Tillman Jr.,6.7,122 min,R,"Biography, Crime, Drama",36.84
U Turn,1997,Oliver Stone,6.7,125 min,R,"Crime, Drama, Thriller",6.63
Analyze This,1999,Harold Ramis,6.7,103 min,R,"Comedy, Crime",106.89
Blood and Bone,2009,Ben Ramsey,6.7,93 min,R,"Action, Crime, Drama",34.247
Summer of Sam,1999,Spike Lee,6.7,142 min,R,"Crime, Drama, Romance",19.28
Machine Gun Preacher,2011,Marc Forster,6.7,129 min,R,"Action, Biography, Crime",0.54
Colors,1988,Dennis Hopper,6.7,120 min,R,"Action, Crime, Drama",46.62
Flawless,2007,Michael Radford,6.7,108 min,PG-13,"Crime, Drama, Thriller",1.2
Things to Do in Denver When You're Dead,1995,Gary Fleder,6.7,115 min,R,"Crime, Drama, Thriller",0.53
Wild Target,2010,Jonathan Lynn,6.7,98 min,PG-13,"Action, Comedy, Crime",0.12
The Enforcer,1976,James Fargo,6.7,96 min,R,"Action, Crime, Thriller",46.2
The Brave One,2007,Neil Jordan,6.7,122 min,R,"Action, Crime, Drama",36.79
Apt Pupil,1998,Bryan Singer,6.7,111 min,R,"Crime, Drama, Thriller",8.84
The Perfect Host,2010,Nicholas Tomnay,6.7,93 min,R,"Comedy, Crime, Thriller",0.05
The Air I Breathe,2007,Jieho Lee,6.7,95 min,R,"Crime, Drama, Thriller",0.03
Brooklyn's Finest,2009,Antoine Fuqua,6.7,132 min,R,"Action, Crime, Drama",27.15
Nothing to Lose,1997,Steve Oedekerk,6.7,98 min,R,"Action, Adventure, Comedy",44.46
Rumble in the Bronx,1995,Stanley Tong,6.7,87 min,R,"Action, Comedy, Crime",32.39
Prizzi's Honor,1985,John Huston,6.7,130 min,R,"Comedy, Crime, Drama",26.7
Cold in July,2014,Jim Mickle,6.7,109 min,R,"Crime, Thriller",0.41
The Matador,2005,Richard Shepard,6.7,96 min,R,"Comedy, Crime, Thriller",12.59
Stakeout,1987,John Badham,6.7,117 min,R,"Action, Comedy, Crime",65.67
The Disappearance of Alice Creed,2009,J Blakeson,6.7,100 min,R,"Crime, Thriller",0.17
Big Nothing,2006,Jean-Baptiste Andrea,6.7,86 min,R,"Comedy, Crime, Thriller",31.091
Antim: The Final Truth,2021,Mahesh Manjrekar,6.7,138 min,18,"Action, Crime, Drama",41.254
Defendor,2009,Peter Stebbings,6.7,101 min,R,"Comedy, Crime, Drama",0.04
The Curse of the Jade Scorpion,2001,Woody Allen,6.7,103 min,PG-13,"Comedy, Crime, Mystery",7.5
Enola Holmes,2020,Harry Bradbeer,6.6,123 min,PG-13,"Action, Adventure, Crime",196.53
House of Gucci,2021,Ridley Scott,6.6,158 min,R,"Biography, Crime, Drama",139.153
Minions: The Rise of Gru,2022,Kyle Balda,6.6,87 min,PG,"Animation, Adventure, Comedy",66.468
Wild Things,1998,John McNaughton,6.6,108 min,R,"Crime, Drama, Mystery",29.75
Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,6.6,95 min,PG-13,"Action, Adventure, Comedy",206.04
The Other Guys,2010,Adam McKay,6.6,107 min,PG-13,"Action, Comedy, Crime",119.22
The Fate of the Furious,2017,F. Gary Gray,6.6,136 min,PG-13,"Action, Crime, Thriller",226.01
Focus,(II) (2015),Glenn Ficarra,6.6,105 min,R,"Comedy, Crime, Drama",53.86
Stillwater,2021,Tom McCarthy,6.6,139 min,R,"Crime, Drama, Thriller",44.994
Inherent Vice,2014,Paul Thomas Anderson,6.6,148 min,R,"Comedy, Crime, Drama",8.11
Cherry,(I) (2021),Anthony Russo,6.6,142 min,R,"Biography, Crime, Drama",33.294
The Book of Henry,2017,Colin Trevorrow,6.6,105 min,PG-13,"Crime, Drama, Thriller",4.22
Bad Boys II,2003,Michael Bay,6.6,147 min,R,"Action, Comedy, Crime",138.61
The Heat,(I) (2013),Paul Feig,6.6,117 min,R,"Action, Comedy, Crime",159.58
The Informer,2019,Andrea Di Stefano,6.6,113 min,R,"Action, Crime, Drama",38.486
Smokin' Aces,2006,Joe Carnahan,6.6,108 min,R,"Action, Comedy, Crime",35.66
Machete,2010,Ethan Maniquis,6.6,105 min,R,"Action, Crime, Thriller",26.59
21 Bridges,2019,Brian Kirk,6.6,99 min,R,"Action, Crime, Drama",68.922
Kiss the Girls,1997,Gary Fleder,6.6,115 min,R,"Crime, Drama, Mystery",60.53
RED 2,2013,Dean Parisot,6.6,116 min,PG-13,"Action, Comedy, Crime",53.26
Half Baked,1998,Tamra Davis,6.6,82 min,R,"Comedy, Crime",17.28
Midnight in the Garden of Good and Evil,1997,Clint Eastwood,6.6,155 min,R,"Crime, Drama, Mystery",25.08
Thoroughbreds,2017,Cory Finley,6.6,92 min,R,"Comedy, Crime, Drama",2.83
Rush Hour 2,2001,Brett Ratner,6.6,90 min,PG-13,"Action, Comedy, Crime",226.16
Man on a Ledge,2012,Asger Leth,6.6,102 min,PG-13,"Action, Crime, Thriller",18.62
Happiest Season,2020,Clea DuVall,6.6,102 min,PG-13,"Comedy, Crime, Drama",42.637
New Jack City,1991,Mario Van Peebles,6.6,97 min,R,"Action, Crime, Drama",47.62
Lethal Weapon 4,1998,Richard Donner,6.6,127 min,R,"Action, Crime, Thriller",130.44
Black Rain,1989,Ridley Scott,6.6,125 min,R,"Action, Crime, Drama",46.21
A Perfect Murder,1998,Andrew Davis,6.6,107 min,R,"Crime, Drama, Thriller",67.64
Irrational Man,2015,Woody Allen,6.6,95 min,R,"Comedy, Crime, Drama",4.03
The Pelican Brief,1993,Alan J. Pakula,6.6,141 min,PG-13,"Crime, Drama, Mystery",100.77
Run All Night,2015,Jaume Collet-Serra,6.6,114 min,R,"Action, Crime, Thriller",26.46
The Loved Ones,2009,Sean Byrne,6.6,84 min,R,"Crime, Horror",41.702
Peter Rabbit,2018,Will Gluck,6.6,95 min,PG,"Adventure, Comedy, Crime",115.25
Going in Style,2017,Zach Braff,6.6,96 min,PG-13,"Comedy, Crime",45.02
Vantage Point,2008,Pete Travis,6.6,90 min,PG-13,"Action, Crime, Drama",72.27
Derailed,(I) (2005),Mikael Håfström,6.6,108 min,R,"Crime, Drama, Thriller",36.02
True Crime,1999,Clint Eastwood,6.6,127 min,R,"Crime, Drama, Mystery",16.64
Outland,1981,Peter Hyams,6.6,109 min,R,"Action, Crime, Sci-Fi",17.37
I Love You Phillip Morris,2009,Glenn Ficarra,6.6,98 min,R,"Biography, Comedy, Crime",2.04
Bad Lieutenant: Port of Call New Orleans,2009,Werner Herzog,6.6,122 min,R,"Crime, Drama",1.7
Sudden Impact,1983,Clint Eastwood,6.6,117 min,R,"Action, Crime, Thriller",67.64
The Way of the Gun,2000,Christopher McQuarrie,6.6,119 min,R,"Action, Crime, Drama",6.06
Pride and Glory,2008,Gavin O'Connor,6.6,130 min,R,"Crime, Drama, Thriller",15.71
Kiss of the Dragon,2001,Chris Nahon,6.6,98 min,R,"Action, Crime, Thriller",36.85
The Art of Self-Defense,2019,Riley Stearns,6.6,104 min,R,"Action, Comedy, Crime",2.41
Scoop,2006,Woody Allen,6.6,96 min,PG-13,"Comedy, Crime, Fantasy",10.53
The Man Who Knew Too Little,1997,Jon Amiel,6.6,94 min,PG,"Comedy, Crime, Drama",13.8
Transsiberian,2008,Brad Anderson,6.6,111 min,R,"Crime, Drama, Mystery",2.2
Shattered,2007,Mike Barker,6.6,95 min,R,"Crime, Drama, Thriller",32.58
Confidence,2003,James Foley,6.6,97 min,R,"Crime, Thriller",12.21
Cassandra's Dream,2007,Woody Allen,6.6,108 min,PG-13,"Crime, Drama, Romance",0.97
Raees,2017,Rahul Dholakia,6.6,143 min,Not Rated,"Action, Crime, Drama",3.26
22 Bullets,2010,Richard Berry,6.6,117 min,Not Rated,"Action, Crime, Drama",35.26
Wasabi,2001,Gérard Krawczyk,6.6,94 min,R,"Action, Drama, Comedy",0.08
Paranoid Park,2007,Gus Van Sant,6.6,85 min,R,"Crime, Drama, Mystery",0.49
Small Time Crooks,2000,Woody Allen,6.6,94 min,PG,"Comedy, Crime",17.07
See How They Run,2022,Tom George,6.5,98 min,PG-13,"Comedy, Crime, Mystery",46.045
Murder on the Orient Express,2017,Kenneth Branagh,6.5,114 min,PG-13,"Crime, Drama, Mystery",102.83
Fast & Furious,2009,Justin Lin,6.5,107 min,PG-13,"Action, Crime, Thriller",155.06
Ocean's Twelve,2004,Steven Soderbergh,6.5,125 min,PG-13,"Crime, Thriller",125.54
Under the Silver Lake,2018,David Robert Mitchell,6.5,139 min,R,"Crime, Drama, Mystery",0.05
The Girl on the Train,2016,Tate Taylor,6.5,112 min,R,"Crime, Drama, Mystery",75.4
Double Jeopardy,1999,Bruce Beresford,6.5,105 min,R,"Crime, Drama, Mystery",116.74
Gone in 60 Seconds,2000,Dominic Sena,6.5,118 min,PG-13,"Action, Crime, Thriller",101.65
Mr. & Mrs. Smith,2005,Doug Liman,6.5,120 min,PG-13,"Action, Comedy, Crime",186.34
Kick-Ass 2,2013,Jeff Wadlow,6.5,103 min,R,"Action, Comedy, Crime",28.8
Bad Boys for Life,2020,Adil El Arbi,6.5,124 min,R,"Action, Comedy, Crime",206.31
The Girl Next Door,2007,Gregory Wilson,6.5,91 min,R,"Crime, Drama, Horror",27.094
Beverly Hills Cop II,1987,Tony Scott,6.5,100 min,R,"Action, Comedy, Crime",153.67
Homefront,(I) (2013),Gary Fleder,6.5,100 min,R,"Action, Crime, Thriller",20.16
Sin City: A Dame to Kill For,2014,Frank Miller,6.5,102 min,R,"Action, Crime, Thriller",13.76
Naked Gun 33 1/3: The Final Insult,1994,Peter Segal,6.5,83 min,PG-13,"Comedy, Crime",51.13
Step Up,2006,Anne Fletcher,6.5,104 min,PG-13,"Crime, Drama, Music",65.33
Funny Games,2007,Michael Haneke,6.5,111 min,R,"Crime, Drama, Thriller",1.29
White Boy Rick,2018,Yann Demange,6.5,111 min,R,"Crime, Drama",24.01
Halloween,(I) (2018),David Gordon Green,6.5,106 min,R,"Crime, Horror, Thriller",159.34
Imperium,2016,Daniel Ragussis,6.5,109 min,R,"Biography, Crime, Drama",47.014
8MM,1999,Joel Schumacher,6.5,123 min,R,"Crime, Drama, Mystery",36.66
"Roman J. Israel, Esq.",2017,Dan Gilroy,6.5,122 min,PG-13,"Crime, Drama, Thriller",11.96
U.S. Marshals,1998,Stuart Baird,6.5,131 min,PG-13,"Action, Crime, Thriller",57.17
Nerve,2016,Henry Joost,6.5,96 min,PG-13,"Action, Adventure, Crime",38.58
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Paris Barclay,6.5,89 min,R,"Comedy, Crime",20.11
Cellular,2004,David R. Ellis,6.5,94 min,PG-13,"Action, Crime, Thriller",32
A Walk Among the Tombstones,2014,Scott Frank,6.5,114 min,R,"Action, Crime, Drama",26.31
The Mechanic,2011,Simon West,6.5,93 min,R,"Action, Crime, Thriller",29.12
Swordfish,2001,Dominic Sena,6.5,99 min,R,"Action, Crime, Thriller",69.77
Out of Time,(I) (2003),Carl Franklin,6.5,105 min,PG-13,"Crime, Drama, Mystery",40.91
Safe,(I) (2012),Boaz Yakin,6.5,94 min,R,"Action, Crime, Thriller",17.14
Awake,2007,Joby Harold,6.5,84 min,R,"Crime, Drama, Mystery",14.38
The Clovehitch Killer,2018,Duncan Skiles,6.5,109 min,Unrated,"Crime, Drama, Mystery",0.01
Hoodwinked,2005,Cory Edwards,6.5,80 min,PG,"Animation, Adventure, Comedy",51.39
Batman,1966,Leslie H. Martinson,6.5,105 min,PG,"Action, Adventure, Comedy",33.915
Oscar,1991,John Landis,6.5,109 min,PG,"Comedy, Crime",23.56
Money Monster,2016,Jodie Foster,6.5,98 min,R,"Crime, Drama, Mystery",41.01
The Final Girls,2015,Todd Strauss-Schulson,6.5,91 min,PG-13,"Comedy, Crime, Fantasy",47.959
Bandits,2001,Barry Levinson,6.5,123 min,PG-13,"Comedy, Crime, Drama",41.58
Premium Rush,2012,David Koepp,6.5,91 min,PG-13,"Action, Crime, Thriller",20.28
Fanboys,2009,Kyle Newman,6.5,90 min,PG-13,"Adventure, Comedy, Crime",0.69
The International,(I) (2009),Tom Tykwer,6.5,118 min,R,"Action, Crime, Drama",25.45
Hostage,2005,Florent-Emilio Siri,6.5,113 min,R,"Action, Crime, Drama",34.64
The River Wild,1994,Curtis Hanson,6.5,111 min,PG-13,"Adventure, Crime, Thriller",46.82
The Informant!,2009,Steven Soderbergh,6.5,108 min,R,"Biography, Comedy, Crime",33.31
Heist,2001,David Mamet,6.5,109 min,R,"Action, Crime, Drama",0.05
Psycho II,1983,Richard Franklin,6.5,113 min,R,"Crime, Horror, Mystery",34.73
Hollywoodland,2006,Allen Coulter,6.5,126 min,R,"Biography, Crime, Drama",14.42
Sightseers,2012,Ben Wheatley,6.5,88 min,Not Rated,"Adventure, Comedy, Crime",0.04
Dhoom 2,2006,Sanjay Gadhvi,6.5,152 min,Not Rated,"Action, Crime, Thriller",2.64
Spartan,2004,David Mamet,6.5,106 min,R,"Action, Crime, Drama",4.43
Taxi 2,2000,Gérard Krawczyk,6.5,88 min,Not Rated,"Action, Comedy, Crime",0.73
District 13: Ultimatum,2009,Patrick Alessandrin,6.5,101 min,R,"Action, Crime, Thriller",0.04
Stretch,2014,Joe Carnahan,6.5,94 min,R,"Comedy, Crime",31.394
The Longest Yard,2005,Peter Segal,6.4,113 min,PG-13,"Comedy, Crime, Sport",158.12
Army of Thieves,2021,Matthias Schweighöfer,6.4,127 min,TV-MA,"Action, Comedy, Crime",79.122
No Sudden Move,2021,Steven Soderbergh,6.4,115 min,R,"Crime, Drama, Mystery",36.213
Solace,(II) (2015),Afonso Poyart,6.4,101 min,R,"Crime, Drama, Mystery",64.384
The Punisher,2004,Jonathan Hensleigh,6.4,124 min,R,"Action, Crime, Drama",33.68
Pain & Gain,2013,Michael Bay,6.4,129 min,R,"Action, Comedy, Crime",49.88
Minions,2015,Kyle Balda,6.4,91 min,PG,"Animation, Adventure, Comedy",336.05
Savages,2012,Oliver Stone,6.4,131 min,R,"Action, Crime, Drama",47.38
The Cell,2000,Tarsem Singh,6.4,107 min,R,"Crime, Horror, Sci-Fi",61.33
The Taking of Pelham 123,2009,Tony Scott,6.4,106 min,R,"Action, Crime, Thriller",65.45
The Raven,(I) (2012),James McTeigue,6.4,110 min,R,"Crime, Mystery, Thriller",16.01
Now You See Me 2,2016,Jon M. Chu,6.4,129 min,PG-13,"Action, Adventure, Comedy",65.08
Compliance,2012,Craig Zobel,6.4,90 min,R,"Crime, Drama, History",0.32
Faster,2010,George Tillman Jr.,6.4,98 min,R,"Action, Crime, Drama",23.24
Killer Elite,2011,Gary McKendry,6.4,116 min,R,"Action, Crime, Thriller",25.12
Tango & Cash,1989,Andrey Konchalovskiy,6.4,104 min,R,"Action, Comedy, Crime",63.41
Stand Up Guys,2012,Fisher Stevens,6.4,95 min,R,"Comedy, Crime, Thriller",3.3
Ace Ventura: When Nature Calls,1995,Steve Oedekerk,6.4,90 min,PG-13,"Adventure, Comedy, Crime",108.39
The Frozen Ground,2013,Scott Walker,6.4,105 min,R,"Crime, Drama, Thriller",64.162
Weekend at Bernie's,1989,Ted Kotcheff,6.4,97 min,PG-13,"Adventure, Comedy, Crime",30.22
The Number 23,2007,Joel Schumacher,6.4,98 min,R,"Crime, Mystery, Thriller",35.19
The Jackal,1997,Michael Caton-Jones,6.4,124 min,R,"Action, Crime, Drama",54.93
The Prophecy,1995,Gregory Widen,6.4,98 min,R,"Action, Crime, Drama",16.12
Shaft,2019,Tim Story,6.4,111 min,R,"Action, Comedy, Crime",21.36
Malice,1993,Harold Becker,6.4,107 min,R,"Crime, Mystery, Thriller",46.04
Child 44,2015,Daniel Espinosa,6.4,137 min,R,"Crime, Drama, History",1.21
Let's Be Cops,2014,Luke Greenfield,6.4,104 min,R,"Action, Comedy, Crime",82.39
Chaos,(II) (2005),Tony Giglio,6.4,106 min,R,"Action, Crime, Drama",55.567
Horns,2013,Alexandre Aja,6.4,120 min,R,"Comedy, Crime, Drama",0.16
Blood Father,2016,Jean-François Richet,6.4,88 min,R,"Action, Crime, Drama",65.328
The General's Daughter,1999,Simon West,6.4,116 min,R,"Crime, Drama, Mystery",102.71
Live by Night,2016,Ben Affleck,6.4,129 min,R,"Action, Crime, Drama",10.38
