name,year,director,rate,runtime,certificate,genre,gross
Kick-Ass,2010,Matthew Vaughn,7.6,117 min,R,"Action, Comedy, Crime",48.07
The Godfather: Part III,1990,Francis Ford Coppola,7.6,162 min,R,"Crime, Drama",66.67
Hell or High Water,(II) (2016),David Mackenzie,7.6,102 min,R,"Crime, Drama, Thriller",26.86
My Cousin Vinny,1992,Jonathan Lynn,7.6,120 min,R,"Comedy, Crime",52.93
RoboCop,1987,Paul Verhoeven,7.6,102 min,R,"Action, Crime, Sci-Fi",53.42
Inside Man,2006,Spike Lee,7.6,129 min,R,"Crime, Drama, Mystery",88.51
The Naked Gun: From the Files of Police Squad!,1988,David Zucker,7.6,85 min,PG-13,"Comedy, Crime",78.76
Gone Baby Gone,2007,Ben Affleck,7.6,114 min,R,"Crime, Drama, Mystery",20.3
Traffic,2000,Steven Soderbergh,7.6,147 min,R,"Crime, Drama, Thriller",124.12
West Side Story,1961,Jerome Robbins,7.6,153 min,Approved,"Crime, Drama, Musical",43.66
Despicable Me,2010,Pierre Coffin,7.6,95 min,PG,"Animation, Adventure, Comedy",251.51
Falling Down,1993,Joel Schumacher,7.6,113 min,R,"Action, Crime, Drama",40.9
Eastern Promises,2007,David Cronenberg,7.6,100 min,R,"Crime, Drama, Thriller",17.11
Lethal Weapon,1987,Richard Donner,7.6,109 min,R,"Action, Crime, Thriller",65.21
The Raid: Redemption,2011,Gareth Evans,7.6,101 min,R,"Action, Crime, Thriller",4.11
Lord of War,2005,Andrew Niccol,7.6,122 min,R,"Crime, Drama",24.15
End of Watch,2012,David Ayer,7.6,109 min,R,"Action, Adventure, Crime",41
Blood Simple,1984,Joel Coen,7.6,99 min,R,"Crime, Drama, Thriller",2.15
Fallen Angels,1995,Kar-Wai Wong,7.6,96 min,Not Rated,"Comedy, Crime, Drama",41.947
Freedom Writers,2007,Richard LaGravenese,7.6,123 min,PG-13,"Biography, Crime, Drama",36.61
Escape from Alcatraz,1979,Don Siegel,7.6,112 min,PG,"Action, Biography, Crime",43
The Taking of Pelham One Two Three,1974,Joseph Sargent,7.6,104 min,R,"Action, Crime, Thriller",2.49
Just Mercy,2019,Destin Daniel Cretton,7.6,137 min,PG-13,"Biography, Crime, Drama",69.112
After Hours,(I) (1985),Martin Scorsese,7.6,97 min,R,"Comedy, Crime, Drama",10.6
21 Grams,2003,Alejandro G. Iñárritu,7.6,124 min,R,"Crime, Drama, Thriller",16.29
Enter the Dragon,1973,Robert Clouse,7.6,102 min,R,"Action, Crime, Drama",25
The Body,2012,Oriol Paulo,7.6,112 min,16,"Crime, Drama, Mystery",67.444
Delicatessen,1991,Marc Caro,7.6,99 min,R,"Comedy, Crime",1.79
The 39 Steps,1935,Alfred Hitchcock,7.6,86 min,Approved,"Crime, Mystery, Thriller",58.146
Pushpa: The Rise - Part 1,2021,Sukumar,7.6,179 min,,"Action, Crime, Drama",76.988
Victoria,(II) (2015),Sebastian Schipper,7.6,138 min,Not Rated,"Crime, Drama, Romance",59.665
Leviathan,2014,Andrey Zvyagintsev,7.6,140 min,R,"Crime, Drama",1.09
Dead Man's Shoes,2004,Shane Meadows,7.6,90 min,Not Rated,"Crime, Drama, Thriller",0.01
Ludo,2020,Anurag Basu,7.6,150 min,TV-MA,"Action, Comedy, Crime",40.323
The Ladykillers,1955,Alexander Mackendrick,7.6,91 min,Not Rated,"Comedy, Crime",29.792
Celda 211,2009,Daniel Monzón,7.6,113 min,16,"Action, Crime, Drama",68.471
Les Misérables,2019,Ladj Ly,7.6,104 min,R,"Crime, Drama, Thriller",25.718
Baazigar,1993,Abbas Alibhai Burmawalla,7.6,175 min,Not Rated,"Crime, Drama, Musical",28.568
Band of Outsiders,1964,Jean-Luc Godard,7.6,95 min,Not Rated,"Comedy, Crime, Drama",0.04
Highway,(I) (2014),Imtiaz Ali,7.6,133 min,Not Rated,"Crime, Drama, Romance",0.53
Control,2003,Nimród Antal,7.6,111 min,R,"Comedy, Crime, Drama",0.24
Mortal World,2018,Ali Atay,7.6,107 min,,"Action, Comedy, Crime",27.524
Sophie Scholl: The Final Days,2005,Marc Rothemund,7.6,120 min,Not Rated,"Biography, Crime, Drama",0.68
It's a Mad Mad Mad Mad World,1963,Stanley Kramer,7.5,210 min,G,"Action, Adventure, Comedy",46.3
The Town,2010,Ben Affleck,7.5,125 min,R,"Crime, Drama, Thriller",92.19
Promising Young Woman,2020,Emerald Fennell,7.5,113 min,R,"Crime, Drama, Mystery",177.133
Gangs of New York,2002,Martin Scorsese,7.5,167 min,R,"Crime, Drama",77.81
Sleepers,1996,Barry Levinson,7.5,147 min,R,"Crime, Drama, Thriller",49.1
Collateral,2004,Michael Mann,7.5,120 min,R,"Action, Crime, Drama",101.01
The Crow,1994,Alex Proyas,7.5,102 min,R,"Action, Crime, Drama",50.69
BlacKkKlansman,2018,Spike Lee,7.5,135 min,R,"Biography, Comedy, Crime",49.28
The Assassination of Jesse James by the Coward Robert Ford,2007,Andrew Dominik,7.5,160 min,R,"Biography, Crime, Drama",3.9
The Warriors,1979,Walter Hill,7.5,93 min,R,"Action, Crime, Thriller",22.49
Thelma & Louise,1991,Ridley Scott,7.5,130 min,R,"Adventure, Crime, Drama",45.36
Jackie Brown,1997,Quentin Tarantino,7.5,154 min,R,"Crime, Drama, Thriller",39.67
A Time to Kill,1996,Joel Schumacher,7.5,149 min,R,"Crime, Drama, Thriller",108.77
Perfume: The Story of a Murderer,2006,Tom Tykwer,7.5,147 min,R,"Crime, Drama, Fantasy",2.22
Lolita,1962,Stanley Kubrick,7.5,153 min,Not Rated,"Crime, Drama, Romance",9.25
The Hate U Give,2018,George Tillman Jr.,7.5,133 min,PG-13,"Crime, Drama",29.72
Richard Jewell,2019,Clint Eastwood,7.5,131 min,R,"Biography, Crime, Drama",89.446
Kiss Kiss Bang Bang,2005,Shane Black,7.5,103 min,R,"Comedy, Crime, Mystery",4.24
Blow,2001,Ted Demme,7.5,124 min,R,"Biography, Crime, Drama",52.99
A Fish Called Wanda,1988,Charles Crichton,7.5,108 min,R,"Comedy, Crime",63.49
Midnight Express,1978,Alan Parker,7.5,121 min,R,"Biography, Crime, Drama",35
Funny Games,1997,Michael Haneke,7.5,108 min,Not Rated,"Crime, Drama, Thriller",76.834
"The Cook, the Thief, His Wife & Her Lover",1989,Peter Greenaway,7.5,124 min,NC-17,"Crime, Drama",7.72
Boys Don't Cry,1999,Kimberly Peirce,7.5,118 min,R,"Biography, Crime, Drama",11.53
A Simple Plan,1998,Sam Raimi,7.5,121 min,R,"Crime, Drama, Thriller",16.31
Menace II Society,1993,Albert Hughes,7.5,97 min,R,"Crime, Drama, Thriller",27.9
Midnight Run,1988,Martin Brest,7.5,126 min,R,"Action, Comedy, Crime",38.41
Lady Vengeance,2005,Park Chan-wook,7.5,115 min,R,"Crime, Drama, Thriller",0.21
Fruitvale Station,2013,Ryan Coogler,7.5,85 min,R,"Biography, Crime, Drama",16.1
The Life of David Gale,2003,Alan Parker,7.5,130 min,R,"Crime, Drama, Thriller",19.59
Sympathy for Mr. Vengeance,2002,Park Chan-wook,7.5,129 min,R,"Crime, Drama, Thriller",0.05
The Long Goodbye,1973,Robert Altman,7.5,112 min,R,"Comedy, Crime, Drama",0.96
The Guilty,2018,Gustav Möller,7.5,85 min,R,"Crime, Drama, Thriller",0.21
Following,1998,Christopher Nolan,7.5,69 min,R,"Crime, Mystery, Thriller",0.05
The Player,1992,Robert Altman,7.5,124 min,R,"Comedy, Crime, Drama",21.71
Who Am I,2014,Baran bo Odar,7.5,102 min,Not Rated,"Crime, Drama, Mystery",58.65
Dead Man Walking,1995,Tim Robbins,7.5,122 min,R,"Crime, Drama",39.39
Hunger,2008,Steve McQueen,7.5,96 min,Not Rated,"Biography, Crime, Drama",0.15
A Perfect World,1993,Clint Eastwood,7.5,138 min,PG-13,"Crime, Drama, Thriller",31.16
Headhunters,2011,Morten Tyldum,7.5,100 min,R,"Action, Crime, Thriller",1.2
Ghost Dog: The Way of the Samurai,1999,Jim Jarmusch,7.5,116 min,R,"Crime, Drama",3.31
The Man Who Wasn't There,2001,Joel Coen,7.5,116 min,R,"Crime, Drama",7.49
Tell No One,2006,Guillaume Canet,7.5,131 min,Not Rated,"Crime, Drama, Mystery",6.18
Police Story,1985,Jackie Chan,7.5,100 min,PG-13,"Action, Comedy, Crime",0.11
House of Sand and Fog,2003,Vadim Perelman,7.5,126 min,R,"Crime, Drama",13.01
Death Note,2006,Shûsuke Kaneko,7.5,126 min,Not Rated,"Crime, Drama, Fantasy",30.838
Pierrot le Fou,1965,Jean-Luc Godard,7.5,110 min,Not Rated,"Crime, Drama, Romance",34.711
